n_days_threshold,num_stocks,total_final_value,total_return,total_outperformance_vs_buy_hold,avg_return,median_return,std_return,avg_outperformance,total_trades,avg_trades_per_stock,total_transaction_costs,num_winning_stocks,win_rate,num_beat_buy_hold,beat_buy_hold_rate
1.0,4,421241.58129887696,5.31039532471924,-169.05542905070632,5.310395324719241,6.050665268902733,26.063383186958077,-169.05542905070632,1697.0,424.25,76743.25047898386,2,50.0,0,0.0
2.0,4,637419.8384737942,59.35495961844855,-115.01086475697703,59.35495961844855,69.99363711228682,30.92104987777675,-115.01086475697703,509.0,127.25,30834.006374647168,4,100.0,0,0.0
3.0,4,782327.7603672172,95.58194009180431,-78.78388428362126,95.5819400918043,101.69822140862495,53.04396356575463,-78.78388428362128,211.0,52.75,12795.3465150208,4,100.0,0,0.0
4.0,4,892759.9676795509,123.1899919198877,-51.17583245553787,123.18999191988772,132.85621751486894,54.02669476915709,-51.17583245553786,82.0,20.5,4954.573408588738,4,100.0,0,0.0
5.0,4,1003308.8845474608,150.8272211368652,-23.53860323856037,150.8272211368652,188.3313046397223,70.76821646629784,-23.53860323856037,35.0,8.75,2011.8542072906669,4,100.0,1,25.0
6.0,4,1089544.1447487487,172.3860361871872,-1.9797881882383876,172.38603618718716,199.97263523485992,82.34279432500279,-1.979788188238409,15.0,3.75,858.3598927211681,4,100.0,1,25.0
7.0,4,1080602.3861654392,170.1505965413598,-4.215227834065786,170.15059654135976,181.48490052406038,69.7262946612058,-4.215227834065821,8.0,2.0,225.23528261165967,4,100.0,0,0.0
8.0,4,1065964.7095431727,166.49117738579318,-7.874646989632396,166.49117738579318,185.62853040884715,78.72756414774818,-7.874646989632394,8.0,2.0,232.89978468996074,4,100.0,1,25.0
9.0,4,1097463.2975017023,174.36582437542557,0.0,174.36582437542557,182.58494603395945,64.08968404174537,0.0,4.0,1.0,0.0,4,100.0,0,0.0
10.0,4,1097463.2975017023,174.36582437542557,0.0,174.36582437542557,182.58494603395945,64.08968404174537,0.0,4.0,1.0,0.0,4,100.0,0,0.0
